job_level,performance_rating,job_role,age,job_satisfaction,company_size,employee_id,leadership_opportunities,company_reputation,marital_status,overtime,employee_recognition,attrition,education_level,gender,number_of_promotions,years_at_company,innovation_opportunities,work_life_balance,distance_from_home,remote_work,monthly_income,number_of_dependents,age_group,commute_distance,years_per_promotion,loyalty_bucket,income_tier,has_dependents
Mid,Average,Education,54,Medium,Medium,14291,0,Good,Single,1,Low,1,High School,Male,0,5,0,Good,63,0,4656,0,46-55,Medium,5.0,Fast Promotion,Low Income,No Dependents
Entry,Average,Education,48,High,Medium,20748,0,Good,Divorced,0,Medium,1,Associate Degree,Male,1,9,1,Fair,92,0,4987,0,46-55,Long,4.5,Fast Promotion,Low Income,No Dependents
Mid,High,Technology,23,High,Medium,13394,0,Good,Single,0,Low,0,High School,Male,0,13,1,Fair,86,0,12507,1,18-25,Long,13.0,Stagnant (No Promos),High Income,Has Dependents
Entry,Average,Healthcare,45,Very High,Small,65251,0,Fair,Married,1,Medium,0,Associate Degree,Female,1,21,0,Good,30,1,7571,1,36-45,Short,10.5,Average Promotion,Middle Income,Has Dependents
Senior,Average,Education,48,Medium,Medium,6885,0,Good,Married,1,Low,0,Bachelor’s Degree,Male,0,32,0,Good,48,0,3535,0,46-55,Medium,32.0,Stagnant (No Promos),Low Income,No Dependents
Mid,Average,Finance,45,High,Medium,68576,0,Good,Married,1,High,0,Bachelor’s Degree,Female,0,34,0,Excellent,58,1,8330,4,36-45,Medium,34.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Average,Healthcare,24,High,Small,69149,0,Good,Divorced,1,Medium,0,Bachelor’s Degree,Male,0,11,1,Good,55,0,6334,2,18-25,Medium,11.0,Average Promotion,Middle Income,Has Dependents
Entry,Average,Technology,42,Medium,Small,61864,0,Poor,Divorced,0,Very High,0,Associate Degree,Male,1,1,0,Good,31,0,8874,2,36-45,Short,0.5,Fast Promotion,High Income,Has Dependents
Mid,Average,Healthcare,53,Medium,Small,29641,1,Good,Married,0,High,1,Associate Degree,Male,1,44,0,Poor,92,0,7364,0,46-55,Long,22.0,Stagnant (No Promos),Middle Income,No Dependents
Entry,Average,Finance,39,High,Medium,65586,0,Excellent,Married,0,Low,1,Associate Degree,Male,0,22,0,Good,16,0,5556,0,36-45,Short,22.0,Stagnant (No Promos),Low Income,No Dependents
Mid,Below Average,Technology,37,High,Small,15737,0,Fair,Married,0,Low,0,Bachelor’s Degree,Male,0,2,1,Good,55,0,9293,0,36-45,Medium,2.0,Fast Promotion,High Income,No Dependents
Entry,Below Average,Finance,37,High,Medium,51448,1,Good,Married,1,Low,0,High School,Male,0,6,1,Fair,32,0,7701,1,36-45,Short,6.0,Average Promotion,Middle Income,Has Dependents
Senior,Average,Media,31,Low,Small,12259,0,Excellent,Single,0,Very High,1,Bachelor’s Degree,Male,2,18,1,Poor,82,0,5105,2,26-35,Long,6.0,Average Promotion,Low Income,Has Dependents
Senior,Average,Healthcare,37,High,Medium,8881,0,Poor,Divorced,0,High,0,Master’s Degree,Male,2,9,0,Fair,8,1,8632,2,36-45,Short,3.0,Fast Promotion,High Income,Has Dependents
Entry,Average,Media,45,High,Small,17543,0,Poor,Married,1,Low,0,Associate Degree,Female,2,27,1,Good,74,0,5315,4,36-45,Long,9.0,Average Promotion,Low Income,Has Dependents
Mid,Average,Media,57,Very High,Medium,74472,0,Good,Divorced,1,Medium,0,Master’s Degree,Female,2,23,0,Excellent,3,0,5938,3,56+,Short,7.666666666666667,Average Promotion,Low Income,Has Dependents
Entry,Average,Media,42,High,Small,64075,0,Good,Single,0,Medium,1,Bachelor’s Degree,Female,0,2,0,Fair,5,0,6213,4,36-45,Short,2.0,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Media,31,Low,Small,54804,0,Good,Divorced,0,Low,1,Bachelor’s Degree,Female,0,17,0,Fair,76,0,5956,4,26-35,Long,17.0,Stagnant (No Promos),Low Income,Has Dependents
Mid,Below Average,Media,56,High,Medium,24350,0,Good,Married,1,Low,0,Bachelor’s Degree,Female,2,22,0,Excellent,47,0,6605,2,56+,Medium,7.333333333333333,Average Promotion,Middle Income,Has Dependents
Entry,Below Average,Finance,34,Very High,Medium,72189,0,Poor,Single,1,Low,1,Bachelor’s Degree,Male,0,12,0,Good,67,0,8274,1,26-35,Long,12.0,Average Promotion,Middle Income,Has Dependents
Entry,Average,Technology,56,Very High,Small,36437,0,Good,Single,0,Low,1,Master’s Degree,Male,2,7,0,Good,58,0,9878,1,56+,Medium,2.3333333333333335,Fast Promotion,High Income,Has Dependents
Entry,High,Technology,47,Low,Medium,34857,0,Poor,Single,0,Low,1,Associate Degree,Female,1,36,0,Fair,84,1,8442,0,46-55,Long,18.0,Stagnant (No Promos),High Income,No Dependents
Entry,High,Healthcare,25,Low,Medium,26304,0,Good,Married,1,Medium,0,Associate Degree,Female,0,2,0,Fair,14,1,6690,2,18-25,Short,2.0,Fast Promotion,Middle Income,Has Dependents
Entry,Below Average,Healthcare,25,High,Small,33177,0,Poor,Married,1,Low,0,Bachelor’s Degree,Female,0,3,0,Excellent,36,1,8397,3,18-25,Medium,3.0,Fast Promotion,High Income,Has Dependents
Mid,Average,Technology,36,High,Medium,70003,0,Good,Single,1,High,1,Bachelor’s Degree,Male,1,8,1,Fair,79,0,9775,1,36-45,Long,4.0,Fast Promotion,High Income,Has Dependents
Entry,Average,Media,41,High,Small,63046,0,Good,Married,0,Medium,0,Associate Degree,Male,0,28,0,Good,52,0,5586,0,36-45,Medium,28.0,Stagnant (No Promos),Low Income,No Dependents
Senior,Average,Healthcare,55,Very High,Small,30924,0,Poor,Married,1,High,1,Bachelor’s Degree,Female,0,6,1,Fair,44,0,9355,3,46-55,Medium,6.0,Average Promotion,High Income,Has Dependents
Mid,High,Technology,48,High,Small,5254,0,Good,Single,1,Medium,1,High School,Female,0,18,0,Fair,32,0,7976,2,46-55,Short,18.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Average,Media,21,High,Medium,33430,0,Good,Married,0,High,0,Associate Degree,Male,0,11,0,Poor,89,0,6356,0,18-25,Long,11.0,Average Promotion,Middle Income,No Dependents
Mid,Average,Media,34,Low,Small,67450,0,Good,Married,0,Medium,0,Bachelor’s Degree,Male,1,21,0,Fair,39,1,5967,0,26-35,Medium,10.5,Average Promotion,Low Income,No Dependents
Mid,Average,Technology,28,Medium,Small,66579,0,Good,Married,0,Low,0,High School,Female,2,12,0,Fair,37,0,10111,3,26-35,Medium,4.0,Fast Promotion,High Income,Has Dependents
Entry,Average,Finance,26,High,Large,54104,0,Good,Single,0,Medium,1,Associate Degree,Male,0,3,1,Excellent,64,0,8673,1,26-35,Medium,3.0,Fast Promotion,High Income,Has Dependents
Mid,Low,Education,47,Very High,Medium,18361,0,Good,Married,1,Low,0,High School,Male,3,22,0,Fair,7,1,5040,0,46-55,Short,5.5,Average Promotion,Low Income,No Dependents
Entry,Average,Technology,30,Low,Small,4098,0,Excellent,Single,0,Medium,1,Associate Degree,Female,1,22,0,Poor,87,1,9894,2,26-35,Long,11.0,Average Promotion,High Income,Has Dependents
Senior,Average,Technology,24,High,Small,27742,0,Fair,Single,0,High,1,Bachelor’s Degree,Male,0,13,1,Good,24,0,6785,3,18-25,Short,13.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Below Average,Finance,23,Very High,Small,1591,0,Good,Married,0,High,0,Master’s Degree,Female,0,2,1,Fair,15,0,7368,3,18-25,Short,2.0,Fast Promotion,Middle Income,Has Dependents
Mid,Average,Media,52,Medium,Small,27451,0,Fair,Single,1,Medium,1,High School,Male,0,34,0,Fair,16,0,5154,2,46-55,Short,34.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Average,Healthcare,51,Very High,Small,58305,0,Good,Single,0,Low,1,Bachelor’s Degree,Male,1,16,0,Good,63,0,8407,1,46-55,Medium,8.0,Average Promotion,High Income,Has Dependents
Entry,Average,Education,50,Very High,Small,19684,0,Good,Married,1,Very High,0,Bachelor’s Degree,Male,2,21,0,Good,76,1,4195,2,46-55,Long,7.0,Average Promotion,Low Income,Has Dependents
Entry,Average,Education,45,High,Large,9392,0,Fair,Married,0,Medium,0,High School,Male,0,6,0,Fair,81,0,4451,2,36-45,Long,6.0,Average Promotion,Low Income,Has Dependents
Senior,Average,Technology,31,High,Small,18598,0,Poor,Married,0,Low,0,Bachelor’s Degree,Female,2,11,0,Fair,58,1,10122,0,26-35,Medium,3.6666666666666665,Fast Promotion,High Income,No Dependents
Entry,Below Average,Finance,50,High,Medium,70231,0,Poor,Married,1,High,0,High School,Male,1,35,1,Good,48,1,7303,1,46-55,Medium,17.5,Stagnant (No Promos),Middle Income,Has Dependents
Mid,Average,Finance,29,Very High,Medium,65665,1,Poor,Single,0,High,1,Associate Degree,Male,0,8,0,Poor,75,0,7946,1,26-35,Long,8.0,Average Promotion,Middle Income,Has Dependents
Mid,Below Average,Finance,27,High,Large,64242,0,Good,Single,1,High,1,Bachelor’s Degree,Male,0,14,0,Poor,30,0,6026,2,26-35,Short,14.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Low,Technology,48,High,Small,23287,0,Good,Single,1,Medium,1,Bachelor’s Degree,Male,0,1,0,Poor,13,0,10135,3,46-55,Short,1.0,Fast Promotion,High Income,Has Dependents
Senior,High,Healthcare,47,Very High,Medium,12556,0,Poor,Married,0,Low,0,Bachelor’s Degree,Male,0,24,0,Fair,35,0,8631,3,46-55,Medium,24.0,Stagnant (No Promos),High Income,Has Dependents
Senior,High,Education,41,Very High,Medium,68364,0,Excellent,Married,0,Low,1,Associate Degree,Female,0,11,0,Poor,8,0,4431,2,36-45,Short,11.0,Average Promotion,Low Income,Has Dependents
Entry,Average,Education,53,High,Large,31457,0,Fair,Single,1,Medium,1,Associate Degree,Female,0,2,1,Good,98,0,3598,1,46-55,Long,2.0,Fast Promotion,Low Income,Has Dependents
Entry,Average,Healthcare,37,Medium,Large,14169,0,Excellent,Married,0,Low,0,High School,Female,0,2,0,Excellent,95,1,7949,5,36-45,Long,2.0,Fast Promotion,Middle Income,Has Dependents
Senior,Average,Healthcare,21,High,Large,43193,0,Fair,Single,0,High,0,Master’s Degree,Female,0,10,0,Fair,44,0,7967,1,18-25,Medium,10.0,Average Promotion,Middle Income,Has Dependents
Entry,Average,Healthcare,53,Low,Medium,67257,0,Good,Married,1,High,1,High School,Female,2,23,1,Fair,68,0,8876,3,46-55,Long,7.666666666666667,Average Promotion,High Income,Has Dependents
Senior,Average,Media,45,High,Medium,52985,0,Fair,Married,1,Low,1,Bachelor’s Degree,Female,0,28,0,Good,56,0,6628,3,36-45,Medium,28.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,High,Healthcare,49,High,Large,31826,0,Fair,Single,0,Low,1,Bachelor’s Degree,Male,1,9,0,Good,73,0,8340,0,46-55,Long,4.5,Fast Promotion,Middle Income,No Dependents
Mid,Average,Finance,37,High,Medium,64500,0,Good,Married,0,Medium,1,Bachelor’s Degree,Male,0,22,0,Poor,21,0,10080,1,36-45,Short,22.0,Stagnant (No Promos),High Income,Has Dependents
Mid,Below Average,Finance,39,Medium,Medium,24841,0,Fair,Married,1,Medium,1,Bachelor’s Degree,Male,0,9,0,Good,26,0,8860,1,36-45,Short,9.0,Average Promotion,High Income,Has Dependents
Mid,Average,Media,27,High,Medium,62882,0,Good,Married,0,Low,0,Bachelor’s Degree,Male,2,17,0,Fair,41,0,5678,2,26-35,Medium,5.666666666666667,Average Promotion,Low Income,Has Dependents
Senior,Average,Technology,58,High,Large,7424,1,Good,Divorced,0,Low,0,Bachelor’s Degree,Male,2,14,1,Poor,34,1,8683,0,56+,Short,4.666666666666667,Fast Promotion,High Income,No Dependents
Entry,Below Average,Education,49,High,Medium,9870,0,Good,Divorced,0,High,1,Associate Degree,Female,0,2,0,Good,29,0,4042,2,46-55,Short,2.0,Fast Promotion,Low Income,Has Dependents
Entry,Below Average,Technology,54,Medium,Medium,6688,0,Fair,Married,0,Low,0,Bachelor’s Degree,Male,0,24,0,Poor,8,1,9737,0,46-55,Short,24.0,Stagnant (No Promos),High Income,No Dependents
Mid,High,Education,38,High,Medium,3625,0,Good,Divorced,1,Low,1,Master’s Degree,Male,0,18,0,Good,84,0,5246,2,36-45,Long,18.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Average,Finance,19,High,Large,66157,0,Fair,Single,0,Medium,1,Bachelor’s Degree,Female,1,1,1,Good,19,0,10141,1,18-25,Short,0.5,Fast Promotion,High Income,Has Dependents
Entry,Below Average,Technology,43,High,Medium,46550,0,Poor,Married,0,Medium,0,High School,Male,1,34,0,Good,50,0,9033,1,36-45,Medium,17.0,Stagnant (No Promos),High Income,Has Dependents
Entry,Average,Media,30,Low,Large,60485,0,Poor,Married,1,Low,1,Bachelor’s Degree,Male,1,10,0,Excellent,68,0,5397,0,26-35,Long,5.0,Fast Promotion,Low Income,No Dependents
Entry,High,Healthcare,31,High,Medium,26078,0,Good,Single,0,Medium,0,PhD,Male,0,19,0,Good,41,0,6135,0,26-35,Medium,19.0,Stagnant (No Promos),Middle Income,No Dependents
Senior,Below Average,Healthcare,47,Very High,Medium,13319,0,Good,Married,0,Medium,0,Associate Degree,Male,0,28,1,Poor,62,0,7063,0,46-55,Medium,28.0,Stagnant (No Promos),Middle Income,No Dependents
Senior,High,Media,58,High,Large,65739,0,Poor,Married,0,Medium,0,Bachelor’s Degree,Female,0,40,0,Good,49,1,6940,1,56+,Medium,40.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,Below Average,Education,40,High,Small,43732,0,Excellent,Married,0,Medium,0,PhD,Male,1,17,0,Poor,69,0,4733,4,36-45,Long,8.5,Average Promotion,Low Income,Has Dependents
Mid,High,Healthcare,35,High,Large,45545,0,Good,Married,0,High,0,Bachelor’s Degree,Male,0,17,0,Good,26,0,7625,0,26-35,Short,17.0,Stagnant (No Promos),Middle Income,No Dependents
Senior,Average,Technology,31,Medium,Large,72101,0,Good,Divorced,0,High,0,Associate Degree,Female,0,2,1,Fair,13,0,6640,4,26-35,Short,2.0,Fast Promotion,Middle Income,Has Dependents
Entry,High,Technology,31,Medium,Small,46992,0,Excellent,Single,1,Medium,0,Master’s Degree,Male,2,8,1,Excellent,33,0,7287,0,26-35,Short,2.6666666666666665,Fast Promotion,Middle Income,No Dependents
Entry,Average,Healthcare,40,Medium,Large,54577,0,Fair,Single,1,Low,1,High School,Male,0,5,0,Fair,57,0,6993,0,36-45,Medium,5.0,Fast Promotion,Middle Income,No Dependents
Mid,Low,Finance,49,High,Small,23371,0,Good,Single,0,Low,0,PhD,Female,0,22,1,Excellent,62,0,12041,6,46-55,Medium,22.0,Stagnant (No Promos),High Income,Has Dependents
Entry,Average,Finance,33,Low,Small,41178,0,Good,Single,0,Medium,1,Master’s Degree,Female,1,1,0,Fair,21,0,6534,4,26-35,Short,0.5,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Healthcare,52,Medium,Large,17004,0,Good,Married,0,Very High,0,Bachelor’s Degree,Male,0,15,0,Good,61,0,7529,5,46-55,Medium,15.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,Average,Finance,51,High,Medium,18068,0,Good,Single,0,High,0,Master’s Degree,Male,1,12,0,Good,62,1,4421,0,46-55,Medium,6.0,Average Promotion,Low Income,No Dependents
Senior,High,Technology,27,High,Large,19252,0,Good,Married,1,Medium,0,High School,Female,0,11,0,Good,53,0,9197,2,26-35,Medium,11.0,Average Promotion,High Income,Has Dependents
Entry,High,Healthcare,58,High,Small,65212,0,Good,Married,1,Medium,1,Bachelor’s Degree,Male,0,6,0,Fair,72,0,8762,0,56+,Long,6.0,Average Promotion,High Income,No Dependents
Entry,High,Technology,42,Medium,Small,36263,0,Good,Single,1,Medium,1,High School,Female,1,7,1,Good,41,1,8744,3,36-45,Medium,3.5,Fast Promotion,High Income,Has Dependents
Entry,Low,Healthcare,26,Low,Medium,23691,0,Poor,Married,0,Low,1,Associate Degree,Male,3,3,0,Good,91,1,7406,0,26-35,Long,0.75,Fast Promotion,Middle Income,No Dependents
Senior,High,Media,37,High,Small,20242,0,Excellent,Married,0,Low,0,Bachelor’s Degree,Female,0,7,0,Good,19,1,6099,0,36-45,Short,7.0,Average Promotion,Low Income,No Dependents
Senior,Average,Technology,55,High,Small,52881,0,Good,Single,0,High,0,Bachelor’s Degree,Male,2,13,1,Good,27,0,9626,0,46-55,Short,4.333333333333333,Fast Promotion,High Income,No Dependents
Entry,Average,Technology,46,High,Medium,32705,0,Fair,Single,0,Low,1,Bachelor’s Degree,Female,0,6,0,Fair,47,0,10298,0,46-55,Medium,6.0,Average Promotion,High Income,No Dependents
Mid,Average,Technology,41,Very High,Large,71450,0,Excellent,Divorced,0,Low,1,Master’s Degree,Male,1,2,1,Good,76,0,8972,1,36-45,Long,1.0,Fast Promotion,High Income,Has Dependents
Entry,Average,Technology,58,Medium,Large,29475,0,Poor,Single,1,Medium,1,Bachelor’s Degree,Female,1,14,0,Fair,56,0,9501,4,56+,Medium,7.0,Average Promotion,High Income,Has Dependents
Entry,Low,Education,40,Very High,Medium,34465,1,Good,Married,0,Medium,1,Master’s Degree,Female,0,22,0,Excellent,58,0,4023,4,36-45,Medium,22.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Below Average,Finance,53,High,Medium,21012,0,Good,Single,0,High,1,Master’s Degree,Male,0,41,0,Poor,24,0,8332,4,46-55,Short,41.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Average,Education,46,Medium,Large,42659,0,Poor,Married,1,Medium,1,Bachelor’s Degree,Female,0,9,0,Fair,36,0,4237,1,46-55,Medium,9.0,Average Promotion,Low Income,Has Dependents
Mid,High,Education,45,High,Medium,47934,0,Poor,Married,0,Medium,1,Associate Degree,Male,1,9,0,Fair,53,0,6437,4,36-45,Medium,4.5,Fast Promotion,Middle Income,Has Dependents
Entry,High,Healthcare,56,Medium,Small,71441,0,Fair,Married,0,Low,0,High School,Male,1,32,0,Excellent,35,0,6690,1,56+,Medium,16.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,Average,Technology,23,Medium,Large,63893,0,Fair,Married,0,Low,1,Associate Degree,Male,0,11,0,Good,74,0,7038,0,18-25,Long,11.0,Average Promotion,Middle Income,No Dependents
Mid,Below Average,Healthcare,55,Low,Medium,29637,0,Excellent,Single,0,Low,1,Associate Degree,Male,0,40,0,Fair,65,0,9177,0,46-55,Medium,40.0,Stagnant (No Promos),High Income,No Dependents
Entry,Below Average,Technology,48,High,Medium,38110,0,Poor,Married,0,Very High,0,High School,Female,0,19,0,Good,75,1,8761,3,46-55,Long,19.0,Stagnant (No Promos),High Income,Has Dependents
Entry,Average,Media,47,Low,Medium,70639,0,Good,Divorced,1,Medium,0,Associate Degree,Male,0,24,0,Excellent,93,0,5428,1,46-55,Long,24.0,Stagnant (No Promos),Low Income,Has Dependents
Senior,Average,Healthcare,26,Medium,Small,8021,0,Good,Married,0,Low,0,High School,Female,4,8,0,Good,44,0,7859,5,26-35,Medium,1.6,Fast Promotion,Middle Income,Has Dependents
Senior,Average,Technology,21,High,Medium,28368,0,Fair,Single,0,Low,1,High School,Male,2,4,0,Good,28,0,10298,0,18-25,Short,1.3333333333333333,Fast Promotion,High Income,No Dependents
Mid,Average,Healthcare,44,Low,Medium,575,0,Good,Married,1,Low,0,Associate Degree,Male,1,13,0,Good,23,0,7430,3,36-45,Short,6.5,Average Promotion,Middle Income,Has Dependents
Senior,High,Education,24,High,Small,49959,0,Good,Married,1,Medium,0,Bachelor’s Degree,Male,2,2,0,Fair,37,0,4573,0,18-25,Medium,0.6666666666666666,Fast Promotion,Low Income,No Dependents
Mid,Below Average,Technology,31,Very High,Medium,72401,0,Fair,Married,0,Low,0,Bachelor’s Degree,Male,0,13,0,Good,76,1,9434,0,26-35,Long,13.0,Stagnant (No Promos),High Income,No Dependents
Mid,High,Finance,45,Very High,Medium,24980,0,Good,Married,1,Medium,1,Associate Degree,Female,2,24,0,Excellent,55,0,4583,1,36-45,Medium,8.0,Average Promotion,Low Income,Has Dependents
Entry,Low,Healthcare,19,Medium,Medium,11385,0,Fair,Married,1,Medium,1,High School,Male,1,3,1,Fair,46,0,7979,2,18-25,Medium,1.5,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Technology,59,High,Medium,4856,0,Good,Married,0,High,1,Associate Degree,Female,1,30,0,Excellent,32,0,10166,1,56+,Short,15.0,Stagnant (No Promos),High Income,Has Dependents
Mid,Average,Media,50,High,Medium,14265,0,Good,Married,0,Medium,0,Bachelor’s Degree,Male,2,35,0,Fair,21,1,5316,0,46-55,Short,11.666666666666666,Average Promotion,Low Income,No Dependents
Mid,Average,Technology,59,Low,Large,370,0,Poor,Married,0,Low,1,High School,Male,2,45,0,Good,64,0,10030,3,56+,Medium,15.0,Stagnant (No Promos),High Income,Has Dependents
Entry,Average,Healthcare,54,Very High,Small,25774,0,Poor,Single,1,Low,1,Associate Degree,Male,0,2,0,Good,86,0,8736,1,46-55,Long,2.0,Fast Promotion,High Income,Has Dependents
Entry,High,Healthcare,58,High,Large,53105,1,Poor,Married,0,High,1,Associate Degree,Female,0,39,1,Fair,56,0,6929,3,56+,Medium,39.0,Stagnant (No Promos),Middle Income,Has Dependents
Mid,High,Healthcare,21,High,Medium,40919,0,Fair,Married,1,Medium,1,Associate Degree,Male,0,2,0,Fair,54,0,10167,2,18-25,Medium,2.0,Fast Promotion,High Income,Has Dependents
Mid,Average,Healthcare,51,Very High,Small,63135,0,Good,Single,0,Low,1,Associate Degree,Male,0,16,1,Poor,9,0,9063,1,46-55,Short,16.0,Stagnant (No Promos),High Income,Has Dependents
Senior,Average,Healthcare,45,High,Small,65852,0,Good,Single,0,Medium,0,High School,Female,4,20,0,Excellent,89,1,8926,1,36-45,Long,4.0,Fast Promotion,High Income,Has Dependents
Senior,Low,Education,30,High,Small,32413,1,Excellent,Divorced,0,Low,0,Bachelor’s Degree,Female,0,15,0,Good,45,0,3204,1,26-35,Medium,15.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Average,Finance,29,High,Large,71343,0,Excellent,Single,0,Low,1,Master’s Degree,Female,0,11,0,Fair,51,0,9306,2,26-35,Medium,11.0,Average Promotion,High Income,Has Dependents
Mid,Average,Education,59,Low,Small,27498,0,Good,Married,0,High,0,Associate Degree,Male,0,43,0,Good,28,0,4862,1,56+,Short,43.0,Stagnant (No Promos),Low Income,Has Dependents
Mid,Low,Technology,35,High,Small,57482,0,Good,Married,0,Low,0,High School,Female,4,26,1,Excellent,81,0,7576,5,26-35,Long,5.2,Average Promotion,Middle Income,Has Dependents
